1931	1	5.9650	-282.2329
1931	2	10.3053	-293.2089
1931	3	-6.8408	-287.8614
1931	4	-10.4481	-278.2477
1931	5	-14.3581	-265.4742
1931	6	12.8503	-280.5102
1931	7	-6.6559	-275.5950
1931	8	0.0461	-278.4424
1931	9	-34.2584	-247.1829
1931	10	7.6799	-255.0321
1931	11	-9.5341	-247.2558
1931	12	-14.6131	-236.3433
1932	1	-1.3089	-237.5438
1932	2	5.3919	-245.9247
1932	3	-11.6910	-237.7585
1932	4	-19.9650	-220.8940
1932	5	-23.2281	-201.7617
1932	6	-0.9714	-204.7223
1932	7	28.5970	-237.1678
1932	8	31.1137	-272.7358
1932	9	-3.2352	-272.8100
1932	10	-14.0118	-265.5729
1932	11	-5.7386	-264.5414
1932	12	4.3764	-270.7398
1933	1	0.9536	-274.1626
1933	2	-14.2299	-263.9548
1933	3	1.5446	-267.7878
1933	4	32.3073	-302.1529
1933	5	19.1925	-324.3895
1933	6	12.5264	-338.1844
1933	7	-10.1224	-328.6087
1933	8	11.4618	-343.4021
1933	9	-11.1840	-332.7242
1933	10	-8.6230	-323.1439
1933	11	9.4773	-330.0220
1933	12	1.9717	-334.6379
1934	1	12.1731	-345.0648
1934	2	-2.3946	-342.0283
1934	3	0.4709	-340.6425
1934	4	-1.8264	-337.3806
1934	5	-7.3412	-329.0570
1934	6	2.4830	-330.3515
1934	7	-11.4629	-316.3382
1934	8	5.7779	-316.3660
1934	9	-0.2988	-315.4241
1934	10	-2.0572	-312.8846
1934	11	8.0663	-320.8530
1934	12	0.3951	-318.1672
1935	1	-3.2708	-314.5120
1935	2	-2.0119	-311.5611
1935	3	-3.8231	-306.7842
1935	4	8.5630	-315.4708
1935	5	3.4104	-317.3147
1935	6	5.3336	-321.4858
1935	7	7.1328	-328.6475
1935	8	2.7352	-332.1568
1935	9	2.3646	-332.0547
1935	10	6.8017	-337.6329
1935	11	5.0264	-337.4944
1935	12	4.5015	-340.3963
1936	1	6.3777	-344.9823
1936	2	2.5627	-346.0814
1936	3	0.8457	-345.9888
1936	4	-8.1960	-336.4404
1936	5	4.9147	-335.7937
1936	6	2.5364	-336.1503
1936	7	6.1858	-340.6330
1936	8	1.1111	-336.5401
1936	9	1.4516	-335.3798
1936	10	6.7455	-340.8827
1936	11	3.3561	-329.0038
1936	12	0.1160	-321.2782
1937	1	3.2043	-324.4864
1937	2	1.3032	-324.6322
1937	3	-0.4361	-321.8466
1937	4	-7.7904	-313.8231
1937	5	-0.8735	-309.9933
1937	6	-4.1873	-302.9138
1937	7	8.0525	-310.7973
1937	8	-4.6745	-304.7642
1937	9	-14.5403	-288.0675
1937	10	-9.9798	-278.3211
1937	11	-8.7235	-268.3937
1937	12	-4.1654	-263.9771
1938	1	0.8281	-265.5344
1938	2	5.5646	-271.7241
1938	3	-27.0199	-245.4506
1938	4	13.5750	-259.5059
1938	5	-3.9864	-259.9150
1938	6	21.2007	-284.0032
1938	7	6.9428	-292.0001
1938	8	-2.7744	-293.8418
1938	9	0.8666	-298.6544
1938	10	7.4497	-306.6715
1938	11	-1.8434	-319.4468
1938	12	3.9773	-329.2344
1939	1	-6.1469	-323.2705
1939	2	3.4122	-325.0125
1939	3	-12.6804	-312.3877
1939	4	-0.2605	-311.8563
1939	5	6.6326	-316.5729
1939	6	-5.4831	-310.0719
1939	7	9.6403	-319.4949
1939	8	-6.8307	-309.5483
1939	9	14.8326	-323.2142
1939	10	-0.4146	-322.9744
1939	11	-3.7295	-309.5138
1939	12	2.9603	-309.0883
1940	1	-2.4889	-306.1745
1940	2	1.4170	-305.1649
1940	3	1.8696	-306.6719
1940	4	0.1450	-305.6517
1940	5	-24.8694	-276.2713
1940	6	6.4417	-281.7801
1940	7	3.1957	-284.4412
1940	8	2.3365	-283.5389
1940	9	2.2711	-284.9484
1940	10	2.9637	-286.9011
1940	11	-1.6570	-283.8112
1940	12	0.7037	-283.4216
1941	1	-4.1324	-279.3577
1941	2	-1.4960	-276.6367
1941	3	0.9354	-275.5241
1941	4	-5.4382	-270.5914
1941	5	1.4137	-270.4819
1941	6	5.6690	-273.6835
1941	7	5.6727	-278.8014
1941	8	0.0485	-277.4169
1941	9	-0.7535	-275.7809
1941	10	-5.2967	-269.8969
1941	11	-1.9852	-264.3471
1941	12	-4.8085	-257.1187
1942	1	0.5585	-257.6732
1942	2	-2.3213	-255.3871
1942	3	-6.7906	-247.8228
1942	4	-4.4204	-243.0769
1942	5	5.9479	-250.5445
1942	6	2.4464	-252.9259
1942	7	3.3967	-256.3961
1942	8	1.8225	-260.1509
1942	9	2.5677	-262.3913
1942	10	6.5403	-269.8150
